CATEGORY,CATEGORY_ID,SUBCATEGORY,SUBCATEGORY_ID,IMAGEKIT_ASSET_COUNT,OBVIOUS_PRODUCT_COUNT,BRANDS_DETECTED,MISSING/UNCERTAIN ITEMS
Monitors,C05,S05-06,S05-06,0,0,,
TVs,C06,,,525,140,Hisense|Infinix|LG|OnePlus|Samsung|Sony|Xiaomi|itel,
TVs,C06,S06-01,S06-01,0,0,,
TVs,C06,S06-02,S06-02,0,0,,
TVs,C06,S06-03,S06-03,0,0,,
TVs,C06,S06-04,S06-04,0,0,,
TVs,C06,S06-05,S06-05,0,0,,
TVs,C06,S06-06,S06-06,0,0,,
TVs,C06,S06-07,S06-07,0,0,,
TVs,C06,S06-08,S06-08,0,0,,
TVs,C06,S06-09,S06-09,0,0,,
TVs,C06,S06-10,S06-10,0,0,,
TVs,C06,S06-11,S06-11,0,0,,
Smart Watches,C07,,,2,1,,
Smart Watches,C07,S07-01,S07-01,0,0,,
Smart Watches,C07,S07-02,S07-02,0,0,,
Smart Watches,C07,S07-03,S07-03,0,0,,
Smart Watches,C07,S07-04,S07-04,0,0,,
Smart Watches,C07,S07-05,S07-05,0,0,,
Audio,C08,,,847,157,Anker Soundcore|Apple|Beats|Bose|Google|Harman Kardon|Huawei|Infinix|JBL|Microsoft|Nokia|Nothing|OPPO|OnePlus|Oraimo|Realme|Samsung|Skullcandy|Sony|Xiaomi,
Audio,C08,S08-01,S08-01,655,122,Anker Soundcore|Apple|Beats|Bose|Google|Huawei|Infinix|JBL|Microsoft|Nokia|Nothing|OPPO|OnePlus|Oraimo|Realme|Samsung|Skullcandy|Sony|Xiaomi,
Audio,C08,S08-02,S08-02,190,34,Anker Soundcore|Bose|Harman Kardon|JBL|Oraimo|Skullcandy|Sony,
Audio,C08,S08-03,S08-03,0,0,,
Audio,C08,S08-04,S08-04,2,1,,
Audio,C08,S08-05,S08-05,0,0,,
Audio,C08,S08-06,S08-06,0,0,,
Audio,C08,S08-07,S08-07,0,0,,
Audio,C08,S08-08,S08-08,0,0,,
Gaming,C09,,,0,0,,
Gaming,C09,S09-01,S09-01,0,0,,
Gaming,C09,S09-02,S09-02,0,0,,
Gaming,C09,S09-03,S09-03,0,0,,
Gaming,C09,S09-04,S09-04,0,0,,
Gaming,C09,S09-05,S09-05,0,0,,
Gaming,C09,S09-06,S09-06,0,0,,
Gaming,C09,S09-07,S09-07,0,0,,
Gaming,C09,S09-08,S09-08,0,0,,
Gaming,C09,S09-09,S09-09,0,0,,
Cameras,C10,,,0,0,,
Cameras,C10,S10-01,S10-01,0,0,,
Cameras,C10,S10-02,S10-02,0,0,,
Cameras,C10,S10-03,S10-03,0,0,,
Cameras,C10,S10-04,S10-04,0,0,,
Cameras,C10,S10-05,S10-05,0,0,,
Cameras,C10,S10-06,S10-06,0,0,,
Networking,C11,,,0,0,,
Networking,C11,S11-01,S11-01,0,0,,
Networking,C11,S11-02,S11-02,0,0,,
Networking,C11,S11-03,S11-03,0,0,,
Networking,C11,S11-04,S11-04,0,0,,
Networking,C11,S11-05,S11-05,0,0,,
Networking,C11,S11-06,S11-06,0,0,,
Networking,C11,S11-07,S11-07,0,0,,
Storage,C12,,,0,0,,
Storage,C12,S12-01,S12-01,0,0,,
Storage,C12,S12-02,S12-02,0,0,,
Storage,C12,S12-03,S12-03,0,0,,
Storage,C12,S12-04,S12-04,0,0,,
Storage,C12,S12-05,S12-05,0,0,,
Storage,C12,S12-06,S12-06,0,0,,
Storage,C12,S12-07,S12-07,0,0,,
Accessories,C13,,,0,0,,
Accessories,C13,S13-01,S13-01,0,0,,
Accessories,C13,S13-02,S13-02,0,0,,
Accessories,C13,S13-03,S13-03,0,0,,
Accessories,C13,S13-04,S13-04,0,0,,
Accessories,C13,S13-05,S13-05,0,0,,
Accessories,C13,S13-06,S13-06,0,0,,
Accessories,C13,S13-07,S13-07,0,0,,
Accessories,C13,S13-08,S13-08,0,0,,
Accessories,C13,S13-09,S13-09,0,0,,
Accessories,C13,S13-10,S13-10,0,0,,
Accessories,C13,S13-11,S13-11,0,0,,
Accessories,C13,S13-12,S13-12,0,0,,
Accessories,C13,S13-13,S13-13,0,0,,
Accessories,C13,S13-14,S13-14,0,0,,
Accessories,C13,S13-15,S13-15,0,0,,
Accessories,C13,S13-16,S13-16,0,0,,
Accessories,C13,S13-17,S13-17,0,0,,
Accessories,C13,S13-18,S13-18,0,0,,
Accessories,C13,S13-19,S13-19,0,0,,
Accessories,C13,S13-20,S13-20,0,0,,
Accessories,C13,S13-21,S13-21,0,0,,
Accessories,C13,S13-22,S13-22,0,0,,
Accessories,C13,S13-23,S13-23,0,0,,
Accessories,C13,S13-24,S13-24,0,0,,
Accessories,C13,S13-25,S13-25,0,0,,
Accessories,C13,S13-26,S13-26,0,0,,
Accessories,C13,S13-27,S13-27,0,0,,
Accessories,C13,S13-28,S13-28,0,0,,
Accessories,C13,S13-29,S13-29,0,0,,
Accessories,C13,S13-30,S13-30,0,0,,
Accessories,C13,S13-31,S13-31,0,0,,
Accessories,C13,S13-32,S13-32,0,0,,
Accessories,C13,S13-33,S13-33,0,0,,
Accessories,C13,S13-34,S13-34,0,0,,
Accessories,C13,S13-35,S13-35,0,0,,
Accessories,C13,S13-36,S13-36,0,0,,
Accessories,C13,S13-37,S13-37,0,0,,
Accessories,C13,S13-38,S13-38,0,0,,
Accessories,C13,S13-39,S13-39,0,0,,
Accessories,C13,S13-40,S13-40,0,0,,
Accessories,C13,S13-41,S13-41,0,0,,
Accessories,C13,S13-42,S13-42,0,0,,
Accessories,C13,S13-43,S13-43,0,0,,
Accessories,C13,S13-44,S13-44,0,0,,
Accessories,C13,S13-45,S13-45,0,0,,
Accessories,C13,S13-46,S13-46,0,0,,
Accessories,C13,S13-47,S13-47,0,0,,
