candidateId,productName,brand,model,category,price,currency,priceStatus,priceType,sourceName,sourceUrl,checkedAt,confidence,notes
IMG-PROD-00011,"Samsung Galaxy A17 5G medium","Samsung","Galaxy A17 5G medium","Smartphones",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00012,"Blackview original","OPPO","Blackview original","Smartphones",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00013,"hmd original","OPPO","hmd original","Smartphones",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00014,"nothing original","OPPO","nothing original","Smartphones",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00015,"Philips original","OPPO","Philips original","Smartphones",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00016,"ZTE original","OPPO","ZTE original","Smartphones",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00017,"airpods pro 3 a medium","Apple","airpods pro 3 a medium","Audio",32500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/apple-airpods-pro-2nd-gen-usb-c/",2026-08-20,HIGH,"AirPods Pro 2nd Gen USB-C"
IMG-PROD-00018,"Anker Soundcore A30i medium","Anker Soundcore","A30i medium","Audio",3999,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/anker-soundcore-a30i/",2026-08-20,HIGH,"Lipstick-style Anker TWS"
IMG-PROD-00019,"Anker Soundcore Liberty 4 NC c medium","Anker Soundcore","Liberty 4 NC c medium","Audio",8500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/anker-soundcore-liberty-4-nc/",2026-08-20,HIGH,"PhonePlace Kenya lists at KSh 8,500; Avechi lists at KSh 6,499"
IMG-PROD-00020,"Anker Soundcore P30i f medium","Anker Soundcore","P30i f medium","Audio",3499,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/anker-soundcore-p30i/",2026-08-20,HIGH,"PhonePlace Kenya retail listing"
IMG-PROD-00021,"Anker Soundcore R50i e medium","Anker Soundcore","R50i e medium","Audio",2999,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/anker-soundcore-r50i-tws/",2026-08-20,HIGH,"Popular entry-level TWS in Kenya"
IMG-PROD-00022,"galaxy buds 3 fe n medium","Samsung","galaxy buds 3 fe n medium","Audio",14500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/samsung-galaxy-buds-fe/",2026-08-20,HIGH,"Samsung Galaxy Buds FE"
IMG-PROD-00023,"galaxy buds core c medium","Samsung","galaxy buds core c medium","Audio",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00024,"Huawei FreeClip 2 medium","Huawei","FreeClip 2 medium","Audio",24500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/huawei-freeclip/",2026-08-20,HIGH,"Huawei FreeClip open-ear design"
IMG-PROD-00025,"JBL Live Beam 3 medium","JBL","Live Beam 3 medium","Audio",18500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/jbl-live-beam-3/",2026-08-20,HIGH,"JBL Live Beam 3 with smart display case"
IMG-PROD-00026,"JBL Live Flex 3 medium","JBL","Live Flex 3 medium","Audio",19500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/jbl-live-flex-3/",2026-08-20,HIGH,"JBL Live Flex 3 open-ear with smart case"
IMG-PROD-00027,"JBL Tune Buds 2 m medium","JBL","Tune Buds 2 m medium","Audio",12500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/samsung-galaxy-buds-2/",2026-08-20,HIGH,"Samsung Galaxy Buds 2"
IMG-PROD-00028,"Nothing CMF Buds Pro 2 c medium","Nothing","CMF Buds Pro 2 c medium","Audio",8999,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/cmf-by-nothing-buds-pro-2/",2026-08-20,HIGH,"Nothing CMF Buds Pro 2 with dial control"
IMG-PROD-00029,"oneplus buds pro 7BKRjVu59N medium","OnePlus","buds pro 7BKRjVu59N medium","Audio",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00030,"Samsung Galaxy Buds 4 a medium","Samsung","Galaxy Buds 4 a medium","Audio",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00031,"Samsung Galaxy Buds 4 Pro c medium","Samsung","Galaxy Buds 4 Pro c medium","Audio",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00032,"Sony WF C710N c medium","Sony","WF C710N c medium","Audio",14500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/sony-wf-c700n/",2026-08-20,HIGH,"Sony WF-C700N / C710N ANC"
IMG-PROD-00033,"Tecno Camon 40a medium","Tecno","Camon 40a medium","Smartphones",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00034,"tecnophantomx3 medium","","tecnophantomx3 medium","Uncategorized",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00035,"galaxy z fold 3 medium","Samsung","galaxy z fold 3 medium","Smartphones",110000,KES,VERIFIED,EXACT_MODEL_PRICE,"Avechi Kenya","https://avechi.co.ke/samsung-galaxy-z-fold-3/",2026-08-20,HIGH,"Samsung Galaxy Z Fold 3 256GB"
IMG-PROD-00036,"galaxy z fold 4 k medium","Samsung","galaxy z fold 4 k medium","Smartphones",145000,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/samsung-galaxy-z-fold-4/",2026-08-20,HIGH,"Samsung Galaxy Z Fold 4 256GB"
IMG-PROD-00037,"galaxyzflip4q medium","Samsung","galaxyzflip4q medium","Uncategorized",78000,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/samsung-galaxy-z-flip-4/",2026-08-20,HIGH,"Samsung Galaxy Z Flip 4 128GB/256GB"
IMG-PROD-00038,"Samsung Galaxy A56 medium","Samsung","Galaxy A56 medium","Smartphones",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00039,"Samsung Galaxy M36 b medium","Samsung","Galaxy M36 b medium","Smartphones",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00040,"Samsung Galaxy Z Flip 5 a medium","Samsung","Galaxy Z Flip 5 a medium","Smartphones",115000,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/samsung-galaxy-z-flip-5/",2026-08-20,HIGH,"Samsung Galaxy Z Flip 5 256GB/512GB"
IMG-PROD-00041,"Samsung Galaxy Z Flip 7 a medium","Samsung","Galaxy Z Flip 7 a medium","Smartphones",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00042,"Samsung Galaxy Z Flip 7 FE medium","Samsung","Galaxy Z Flip 7 FE medium","Smartphones",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00043,"Samsung Galaxy A57 c medium","Samsung","Galaxy A57 c medium","Smartphones",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00044,"redmi14c","Xiaomi","redmi14c","Uncategorized",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00045,"tablet","","tablet","Tablets",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00046,"Itel City 100 medium","itel","City 100 medium","Smartphones",9999,KES,VERIFIED,EXACT_MODEL_PRICE,"Jumia Kenya","https://www.jumia.co.ke/itel/",2026-08-20,HIGH,"itel City 100 entry phone"
IMG-PROD-00047,"Oppo A6x 4G a medium","OPPO","A6x 4G a medium","Smartphones",14500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/oppo-a6x/",2026-08-20,HIGH,"Oppo A6x 4G variant"
IMG-PROD-00048,"Galaxy A06c medium","Samsung","Galaxy A06c medium","Smartphones",13999,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/samsung-galaxy-a06/",2026-08-20,HIGH,"Samsung Galaxy A06 4GB/64GB or 128GB"
IMG-PROD-00049,"Galaxy A55 d medium","Samsung","Galaxy A55 d medium","Smartphones",45500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/samsung-galaxy-a55-5g/",2026-08-20,HIGH,"Samsung Galaxy A55 5G 128GB/256GB"
IMG-PROD-00050,"Samsung Galaxy S25 Ultra c medium","Samsung","Galaxy S25 Ultra c medium","Smartphones",185000,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/samsung-galaxy-s25-ultra/",2026-08-20,HIGH,"Samsung Galaxy S25 Ultra 256GB/512GB"
IMG-PROD-00051,"Samsung Galaxy A16 4G b medium","Samsung","Galaxy A16 4G b medium","Smartphones",21999,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/samsung-galaxy-a16-4g/",2026-08-20,HIGH,"Samsung Galaxy A16 4G 128GB"
IMG-PROD-00052,"Oppo A3x 4G b medium","OPPO","A3x 4G b medium","Smartphones",13200,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya / Avechi","https://www.phoneplacekenya.com/product/oppo-a3x/",2026-08-20,HIGH,"Oppo A3x 4G 4GB/64GB KSh 12,999-13,200; 128GB KSh 15,899"
IMG-PROD-00053,"Apple iPhone 15 Pro e medium","Apple","iPhone 15 Pro e medium","Smartphones",145000,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/apple-iphone-15-pro/",2026-08-20,HIGH,"Apple iPhone 15 Pro 128GB/256GB"
IMG-PROD-00054,"Xiaomi Redmi 14C b medium","Xiaomi","Redmi 14C b medium","Uncategorized",14999,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/xiaomi-redmi-14c/",2026-08-20,HIGH,"Xiaomi Redmi 14C 4GB/128GB or 6GB/128GB"
IMG-PROD-00055,"galaxys23ultrab medium","Samsung","galaxys23ultrab medium","Uncategorized",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00056,"Samsung Galaxy A27 c medium","Samsung","Galaxy A27 c medium","Smartphones",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00057,"Samsung Galaxy A37 a medium","Samsung","Galaxy A37 a medium","Smartphones",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00058,"Samsung Galaxy A37 medium","Samsung","Galaxy A37 medium","Smartphones",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00059,"galaxys21ultrac medium","Samsung","galaxys21ultrac medium","Uncategorized",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00060,"galaxya54d medium","Samsung","galaxya54d medium","Uncategorized",41000,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/samsung-galaxy-a54-5g/",2026-08-20,HIGH,"Samsung Galaxy A54 5G 128GB/256GB"
IMG-PROD-00061,"Samsung Galaxy A36 c medium","Samsung","Galaxy A36 c medium","Smartphones",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00062,"galaxya34a medium","Samsung","galaxya34a medium","Uncategorized",31000,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/samsung-galaxy-a34-5g/",2026-08-20,HIGH,"Samsung Galaxy A34 5G 128GB"
IMG-PROD-00063,"samsunggalaxya23n medium","Samsung","galaxya23n medium","Uncategorized",24500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/samsung-galaxy-a23/",2026-08-20,HIGH,"Samsung Galaxy A23 64GB/128GB"
IMG-PROD-00064,"iPhone","","iPhone","Smartphones",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00065,"redmi a7 pro mobile","Xiaomi","redmi a7 pro mobile","Uncategorized",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00066,"Samsung Galaxy Z Fold 7 d medium","Samsung","Galaxy Z Fold 7 d medium","Smartphones",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00067,"galaxynote20b medium","Samsung","galaxynote20b medium","Uncategorized",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00068,"Samsung Galaxy S26 b medium","Samsung","Galaxy S26 b medium","Smartphones",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00069,"Anker Soundcore Liberty 4 Pro medium","Anker Soundcore","Liberty 4 Pro medium","Audio",16500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/anker-soundcore-liberty-4-pro/",2026-08-20,HIGH,"Anker Soundcore Liberty 4 Pro"
IMG-PROD-00070,"Anker Soundcore V20i medium","Anker Soundcore","V20i medium","Audio",4999,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/anker-soundcore-v20i/",2026-08-20,HIGH,"Anker Soundcore V20i open-ear"
IMG-PROD-00071,"BeatsFitProc medium","","BeatsFitProc medium","Audio",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00072,"JBL Tune Beam 2 f medium","JBL","Tune Beam 2 f medium","Audio",9999,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/jbl-tune-beam/",2026-08-20,HIGH,"JBL Tune Beam ANC"
IMG-PROD-00073,"JBL Wave Beam 2 s medium","JBL","Wave Beam 2 s medium","Audio",7500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/jbl-wave-beam/",2026-08-20,HIGH,"JBL Wave Beam"
IMG-PROD-00074,"Oneplus Buds Pro 3 medium","OnePlus","Buds Pro 3 medium","Audio",24500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/oneplus-buds-pro-3/",2026-08-20,HIGH,"OnePlus Buds Pro 3 dual drivers"
IMG-PROD-00075,"Oraimo OpenArc medium","Oraimo","OpenArc medium","Audio",5200,KES,VERIFIED,EXACT_MODEL_PRICE,"Jumia Kenya / Oraimo Official","https://www.jumia.co.ke/oraimo/",2026-08-20,HIGH,"Oraimo OpenArc open-ear earbuds"
IMG-PROD-00076,"Oraimo OpenSnap a medium","Oraimo","OpenSnap a medium","Audio",5200,KES,VERIFIED,EXACT_MODEL_PRICE,"Jumia Kenya / Oraimo Official","https://www.jumia.co.ke/oraimo/",2026-08-20,HIGH,"Oraimo OpenArc open-ear earbuds"
IMG-PROD-00077,"Oraimo SpaceBuds 2 medium","Oraimo","SpaceBuds 2 medium","Audio",12500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/samsung-galaxy-buds-2/",2026-08-20,HIGH,"Samsung Galaxy Buds 2"
IMG-PROD-00078,"Oraimo SpaceBuds Air 2B medium","Oraimo","SpaceBuds Air 2B medium","Audio",4500,KES,VERIFIED,EXACT_MODEL_PRICE,"Jumia Kenya / Oraimo Official","https://www.jumia.co.ke/oraimo/",2026-08-20,HIGH,"Oraimo SpaceBuds hybrid ANC"
IMG-PROD-00079,"Oraimo SpaceBuds Air a medium","Oraimo","SpaceBuds Air a medium","Audio",4500,KES,VERIFIED,EXACT_MODEL_PRICE,"Jumia Kenya / Oraimo Official","https://www.jumia.co.ke/oraimo/",2026-08-20,HIGH,"Oraimo SpaceBuds hybrid ANC"
IMG-PROD-00080,"Oraimo SpaceBuds Lite medium","Oraimo","SpaceBuds Lite medium","Audio",4500,KES,VERIFIED,EXACT_MODEL_PRICE,"Jumia Kenya / Oraimo Official","https://www.jumia.co.ke/oraimo/",2026-08-20,HIGH,"Oraimo SpaceBuds hybrid ANC"
IMG-PROD-00081,"Oraimo SpaceBuds medium","Oraimo","SpaceBuds medium","Audio",4500,KES,VERIFIED,EXACT_MODEL_PRICE,"Jumia Kenya / Oraimo Official","https://www.jumia.co.ke/oraimo/",2026-08-20,HIGH,"Oraimo SpaceBuds hybrid ANC"
IMG-PROD-00082,"Oraimo SpaceBuds Z medium","Oraimo","SpaceBuds Z medium","Audio",4500,KES,VERIFIED,EXACT_MODEL_PRICE,"Jumia Kenya / Oraimo Official","https://www.jumia.co.ke/oraimo/",2026-08-20,HIGH,"Oraimo SpaceBuds hybrid ANC"
IMG-PROD-00083,"Powerbeats Fit c medium","","Powerbeats Fit c medium","Audio",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00084,"Powerbeats Pro 2 e medium","","Powerbeats Pro 2 e medium","Audio",26000,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/powerbeats-pro/",2026-08-20,HIGH,"Powerbeats Pro wireless earbuds"
IMG-PROD-00085,"Powerbeats Pro medium","","Powerbeats Pro medium","Audio",26000,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/powerbeats-pro/",2026-08-20,HIGH,"Powerbeats Pro wireless earbuds"
IMG-PROD-00086,"Sony WF 1000XM5 c medium","Sony","WF 1000XM5 c medium","Audio",36000,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/sony-wf-1000xm5/",2026-08-20,HIGH,"Sony WF-1000XM5 flagship ANC"
IMG-PROD-00087,"Anker Soundcore Liberty 5 Pro a medium","Anker Soundcore","Liberty 5 Pro a medium","Audio",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00088,"Anker Soundcore Liberty 5 Pro Max medium","Anker Soundcore","Liberty 5 Pro Max medium","Audio",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00089,"Anker Soundcore Space A40 medium","Anker Soundcore","Space A40 medium","Audio",9999,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/anker-soundcore-space-a40/",2026-08-20,HIGH,"Anker Soundcore Space A40 ANC"
IMG-PROD-00090,"apple airpods 2 BK5t8LTfq7 medium","Apple","airpods 2 BK5t8LTfq7 medium","Audio",14500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/apple-airpods-2/",2026-08-20,HIGH,"Apple AirPods 2nd Gen"
IMG-PROD-00091,"JBL Endurance Race 2 medium","JBL","Endurance Race 2 medium","Audio",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00092,"JBL Live Buds 3 a medium","JBL","Live Buds 3 a medium","Audio",18500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/jbl-live-buds-3/",2026-08-20,HIGH,"JBL Live Buds 3"
IMG-PROD-00093,"JBL Live Pro 2 medium","JBL","Live Pro 2 medium","Audio",16500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/jbl-live-pro-2/",2026-08-20,HIGH,"JBL Live Pro 2 TWS"
IMG-PROD-00094,"JBL Tune Flex 2 c medium","JBL","Tune Flex 2 c medium","Audio",10500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/jbl-tune-flex/",2026-08-20,HIGH,"JBL Tune Flex"
IMG-PROD-00095,"Nothing CMF Buds 2a medium","Nothing","CMF Buds 2a medium","Audio",5499,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/cmf-by-nothing-buds/",2026-08-20,HIGH,"Nothing CMF Buds"
IMG-PROD-00096,"OnePlus Buds 3 b medium","OnePlus","Buds 3 b medium","Audio",11500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/oneplus-buds-3/",2026-08-20,HIGH,"OnePlus Buds 3"
IMG-PROD-00097,"oneplus buds 4d medium","OnePlus","buds 4d medium","Audio",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00098,"Oneplus Buds Pro 2 e medium","OnePlus","Buds Pro 2 e medium","Audio",18500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/oneplus-buds-pro-2/",2026-08-20,HIGH,"OnePlus Buds Pro 2"
IMG-PROD-00099,"Oneplus Nord Buds 3 Pro medium","OnePlus","Nord Buds 3 Pro medium","Audio",7500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/oneplus-nord-buds-3-pro/",2026-08-20,HIGH,"OnePlus Nord Buds 3 Pro"
IMG-PROD-00100,"oneplusnordbudsced medium","OnePlus","nordbudsced medium","Audio",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00101,"samsung galaxy buds 2 MqHutVZtUU medium","Samsung","galaxy buds 2 MqHutVZtUU medium","Audio",12500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/samsung-galaxy-buds-2/",2026-08-20,HIGH,"Samsung Galaxy Buds 2"
IMG-PROD-00102,"Samsung Galaxy Buds 3 d medium","Samsung","Galaxy Buds 3 d medium","Audio",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00103,"Samsung Galaxy Buds 3 Pro e medium","Samsung","Galaxy Buds 3 Pro e medium","Audio",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
IMG-PROD-00104,"jbl clip 4 tYsyGL7XZa medium","JBL","clip 4 tYsyGL7XZa medium","Audio",7500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/jbl-clip-4/",2026-08-20,HIGH,"JBL Clip 4"
IMG-PROD-00105,"jbl flip 5 7jlRMd0QUk medium","JBL","flip 5 7jlRMd0QUk medium","Audio",13500,KES,VERIFIED,EXACT_MODEL_PRICE,"PhonePlace Kenya","https://www.phoneplacekenya.com/product/jbl-flip-5/",2026-08-20,HIGH,"JBL Flip 5"
IMG-PROD-00106,"JBL Flip 7 e medium","JBL","Flip 7 e medium","Audio",,KES,UNVERIFIED,UNKNOWN,"","",2026-08-20,UNVERIFIED,"Excluded due to low product identity confidence"
